Question,Answer
"How much is the admission fee?","Admission fee is ₹5000."
"What is the admission fee?","The one-time admission fee is ₹5000."
"How can I apply for a hostel?","Fill the hostel form online at hostel.university.edu."
"Where is the hostel form?","You can find the hostel form online at hostel.university.edu."
"When will exams start?","Exams will begin in December as per the academic calendar."
"What is the exam date?","Exams are scheduled for December, according to the academic calendar."
"What is the admission process?","You can apply online through our university portal at admissions.university.edu. The deadline is July 31st."
"How do I apply for admission?","The application process is online. Visit admissions.university.edu to start."
"Application procedure?","Please visit the university website and fill out the online application form."
"Where can I find the application form?","The application form is available on the university's main website under the 'Admissions' tab."
"When is the last date to apply?","The application deadline for the upcoming semester is July 31st."
"What is the application deadline?","The deadline for all applications is July 31st."
"Admission closing date?","Admissions close on July 31st."
"What are the eligibility criteria for BCA?","Eligibility for the BCA program is a minimum of 60% in 12th grade with Mathematics or Computer Science."
"Do I qualify for the BCA program?","To qualify for BCA, you need 60% in your 12th-grade exams, including Mathematics."
"Requirements for BCA admission?","The main requirement for BCA is 60% in 12th grade with Mathematics."
"Is there an entrance test?","Yes, admissions are based on the University Entrance Test (UET) held in June."
"Do I need to take an entrance exam for admission?","Yes, the UET is mandatory for all undergraduate courses."
"What is the admission test schedule?","The University Entrance Test (UET) will be held in the second week of June. Check the website for exact dates."
"What is the tuition fee for BCA?","The tuition fee for the BCA program is ₹80,000 per semester."
"How much does the BCA course cost?","The BCA course costs ₹80,000 per semester, plus examination and lab fees."
"Annual fee for BCA?","The total annual tuition fee for BCA is ₹1,60,000."
"Semester fee for Bachelor of Computer Applications?","The semester fee for BCA is ₹80,000."
"Where can I pay my fees?","Fees can be paid online via the student portal at portal.university.edu."
"What is the fee payment procedure?","You can pay all fees through the online student portal using net banking, credit, or debit card."
"Online fee payment link?","The fee payment link is portal.university.edu."
"Can I pay fees in installments?","Yes, installment options are available. Please contact the finance office at finance@university.edu for details."
"When is the last date for fee payment?","The last date to pay semester fees without a late fine is August 15th."
"Semester fee deadline?","The deadline for fee payment is August 15th."
"How can I get hostel accommodation?","You can apply for hostel accommodation via the hostel portal at hostel.university.edu after confirming your admission."
"Process for hostel allotment?","Hostel allotment is done on a first-come, first-served basis. Apply online at hostel.university.edu."
"What are the hostel charges?","Hostel fees are ₹1,20,000 per year, which includes accommodation and mess charges."
"How much does the hostel cost per year?","The annual hostel fee is ₹1,20,000."
"Mess fee included in hostel?","Yes, the mess charges are included in the annual hostel fee."
"What facilities are available in the hostel?","Hostels provide 24/7 Wi-Fi, laundry services, a gym, and options for single or double occupancy rooms."
"Is there Wi-Fi in the hostel?","Yes, all hostels are equipped with 24/7 high-speed Wi-Fi."
"Hostel room type?","We offer both single-occupancy and double-occupancy rooms."
"What is the exam schedule?","The end-semester exams will begin in December. The detailed schedule will be released later."
"When do the semester exams begin?","Semester exams start in the first week of December."
"Where can I find the exam timetable?","The detailed exam timetable (date sheet) will be published on the university website one month before the exams."
"When will the date sheet be released?","The date sheet is expected to be released by the first week of November."
"Exam date sheet?","You can find the exam date sheet on the 'Examinations' section of the university website."
"When will the exam results be declared?","Results are typically declared 3-4 weeks after the last exam."
"How to check my results?","You can check your results by logging into your student portal."
"Where can I see my grades?","Your grades will be available on the student portal under the 'Results' tab."
"Where can I find my class schedule?","Class timetables are available on the department notice board and on the student portal."
"When do classes start?","Classes for the new semester will commence on August 1st."
"What is the timetable for BCA 1st year?","The timetable for all sections of BCA 1st year is available on the student portal under 'My Schedule'."
"Where is the academic calendar?","The academic calendar is available on the main university website under 'Academics'."
"List of holidays?","The list of official university holidays is part of the academic calendar, available on the website."
"When does the semester start?","The odd semester starts on August 1st, and the even semester starts on January 15th."
"What are the library timings?","The central library is open from 9 AM to 8 PM on weekdays and 10 AM to 4 PM on weekends."
"How to issue a book from the library?","You can issue books from the central library using your student ID card at the circulation desk."
"Library location?","The central library is located on the ground floor of the main administrative building."
"How to connect to university Wi-Fi?","To connect to the 'Uni-Campus' Wi-Fi, use your student roll number as the username and your portal password."
"What is the Wi-Fi password?","The password for the 'Uni-Campus' Wi-Fi is your student portal password. Visit the IT desk if you have issues."
"Campus Wi-Fi access?","All students have access to the campus-wide Wi-Fi. Please use your student credentials to log in."
"How to contact the admission office?","You can contact the admission office at admissions@university.edu."
"What is the helpline number?","Our main helpline number is +91-12345-67890. For admissions, call +91-12345-67891."
"University contact details?","You can find all department contact details on the 'Contact Us' page of our website."
